月,实际品牌,产品,是否旗舰店,进入时间,销量(件),均价(元),匹数,机型,冷暖型和单冷型,新风功能,是否为省电型,滞后三期铜价,市场月活
202603,美的 Midea,美的 Midea-美的集团官方旗舰店,0,0,271,5599,正 3 匹,1,1,0,1,11790.96,591500000
202603,美的 Midea,美的 Midea-美的空调官方旗舰店,1,2024/1/4,290,5199,大 3 匹,1,1,0,1,11790.96,591500000
202603,海尔 Haier,海尔 Haier-海尔京东自营旗舰店,0,0,225,6689,大 3 匹,1,1,0,0,11790.96,591500000
202603,格力 Gree,格力 Gree-格力空调京东自营官方旗舰店,0,0,350,4299,正 1.5 匹,0,1,0,0,11790.96,591500000
202603,奥克斯 Aux,奥克斯 Aux-奥克斯空调京东自营旗舰店,0,0,552,2719,正 2 匹,0,1,0,1,11790.96,591500000
202603,海尔 Haier,海尔 Haier-海尔京东自营旗舰店,0,0,397,3763,大 3 匹,1,1,0,1,11790.96,591500000
202603,海尔 Haier,海尔 Haier-重百家电京东自营专区,0,0,315,4699,正 3 匹,0,1,0,1,11790.96,591500000
202603,格力 Gree,格力 Gree-格力空调京东自营官方旗舰店,0,0,183,7999,正 3 匹,1,1,0,1,11790.96,591500000
202603,格力 Gree,格力 Gree-京东家电自营旗舰店,0,0,243,5998,正 2 匹,0,1,0,1,11790.96,591500000
202603,新飞 Frestec,新飞 Frestec-新飞空调旗舰店,0,0,1533,950,大 1 匹,0,0,0,1,11790.96,591500000
202603,海尔 Haier,海尔 Haier-海尔京东自营旗舰店,0,0,539,2699,大 1.5 匹,0,1,0,0,11790.96,591500000
202603,华凌,华凌-华凌京东自营旗舰店,0,0,781,1849,正 1 匹,0,1,0,1,11790.96,591500000
202603,海尔 Haier,海尔 Haier-海尔京东自营旗舰店,0,0,168,8587,正 1 匹,1,1,0,0,11790.96,591500000
202603,小米 Mi,小米 Mi-小米京东自营旗舰店,0,0,424,3399,正 2 匹,0,0,0,1,11790.96,591500000
202603,美的 Midea,美的 Midea-美的空调京东自营旗舰店,0,0,343,4198.2,正 3 匹,1,1,0,1,11790.96,591500000
202603,申花,申花-申花空调旗舰店,1,2017/3/1,1578,901,正 1 匹,0,0,0,1,11790.96,591500000
202603,华凌,华凌-华凌官方旗舰店,0,0,717,1979.1,大 1.5 匹,,1,0,0,11790.96,591500000
202603,海信 Hisense,海信 Hisense-海信京东自营旗舰店,0,0,213,6599,正 3 匹,1,1,1,0,11790.96,591500000
202603,科龙 Kelon,科龙 Kelon-科龙空调京东自营旗舰店,0,0,908,1528,正 1.5 匹,0,1,0,1,11790.96,591500000
202603,长虹 Changhong,长虹 Changhong-长虹空调京东自营旗舰店,0,0,291,4699,大 3 匹,1,0,0,0,11790.96,591500000
202603,海信 Hisense,海信 Hisense-海信京东自营旗舰店,0,0,273,4999,正 3 匹,1,1,1,1,11790.96,591500000
202603,云米 Viomi,云米 Viomi-云米智能京东自营旗舰店,0,0,1000,1359.2,正 3 匹,0,1,0,1,11790.96,591500000
202603,美的 Midea,美的 Midea-美的空调旗舰店,0,0,462,2940,大 1 匹,0,0,0,1,11790.96,591500000
202603,Aufit,Aufit-京东家电自营旗舰店,0,0,866,1549,大 1 匹,0,1,0,0,11790.96,591500000
202603,Tcl,Tcl-TCL空调优选旗舰店,0,0,888,1499,正 1.5 匹,0,1,0,1,11790.96,591500000
202603,美的 Midea,美的 Midea-美的京东自营旗舰店,0,0,300,4424,正 1.5 匹,0,1,0,0,11790.96,591500000
